date,%assignLoss,linkDeathTime,idLink,%loss,linkCharge
20201111220856,0,150,1,13.2407333333,0.00014
20201111220856,0,150,2,13.2407333333,0.00052
20201111220856,0,150,4,13.2407333333,0.00014
20201111220856,0,150,10,17.4999666667,0.00011
20201111220856,0,150,17,13.2407333333,0.00014
20201111220856,0,150,19,21.38885,5e-05
20201111220856,0,150,22,17.4999666667,0.00011
20201111220857,0,150,1,13.36115625,0.00034
20201111220857,0,150,2,14.4561631579,0.00147
20201111220857,0,150,3,16.4646909091,0.00017
20201111220857,0,150,4,13.8518952381,0.00041
20201111220857,0,150,5,17.2840222222,0.00015
20201111220857,0,150,6,16.222247619,0.00028
20201111220857,0,150,7,16.1905428571,0.00012
20201111220857,0,150,8,15.11114,8e-05
20201111220857,0,150,9,20.3704333333,9e-05
20201111220857,0,150,10,12.8445133333,0.00033
20201111220857,0,150,11,15.893368,0.00036
20201111220857,0,150,13,15.7408,0.0001
20201111220857,0,150,14,13.3334,2e-05
20201111220857,0,150,16,19.6667,0.00017
20201111220857,0,150,17,15.6666888889,0.00032
20201111220857,0,150,18,18.4706176471,0.00022
20201111220857,0,150,19,16.536,0.0003
20201111220857,0,150,20,19.3072411765,0.00025
20201111220857,0,150,21,19.930625,0.00025
20201111220857,0,150,22,13.0476785714,0.0003
20201111220857,0,150,23,16.1539230769,0.00023
20201111220857,0,150,24,15.7143714286,0.00013
20201111220857,0,150,25,14.81485,0.0001
20201111220857,0,150,26,18.0952571429,9e-05
20201111220857,25,150,12,41.666825,9e-05
20201111220858,0,150,1,3.67245454545,0.00037
20201111220858,0,150,2,2.989128,0.00177
20201111220858,0,150,3,7.09444090909,0.00031
20201111220858,0,150,4,2.25884615385,0.00037
20201111220858,0,150,5,4.59182857143,0.00015
20201111220858,0,150,6,5.2978,0.00043
20201111220858,0,150,7,5.873025,0.00017
20201111220858,0,150,8,9.81619285714,0.00021
20201111220858,0,150,9,1.90477142857,8e-05
20201111220858,0,150,10,3.37511578947,0.0003
20201111220858,0,150,11,3.71785142857,0.00041
20201111220858,0,150,13,7.22226,0.00014
20201111220858,0,150,14,17.7778,7e-05
20201111220858,0,150,16,3.23528823529,0.00018
20201111220858,0,150,17,1.3889,0.00032
