date,%assignLoss,linkDeathTime,idLink,%loss,linkCharge
20201111220509,0,100,1,15.0,4e-05
20201111220509,0,100,2,15.0,0.00014
20201111220509,0,100,4,15.0,4e-05
20201111220509,0,100,17,15.0,4e-05
20201111220509,0,100,19,15.0,4e-05
20201111220510,0,100,1,12.3611,0.0001
20201111220510,0,100,2,12.3611,0.00038
20201111220510,0,100,4,12.3611,0.0001
20201111220510,0,100,10,17.4999666667,0.00011
20201111220510,0,100,17,12.3611,0.0001
20201111220510,0,100,19,27.7777,1e-05
20201111220510,0,100,22,17.4999666667,0.00011
20201111220511,0,100,1,13.9383222222,0.00037
20201111220511,0,100,2,14.4938722222,0.00154
20201111220511,0,100,3,14.48895,0.00017
20201111220511,0,100,4,13.5639473684,0.00037
20201111220511,0,100,5,14.46435,0.00014
20201111220511,0,100,6,16.2423,0.00026
20201111220511,0,100,8,15.3333666667,4e-05
20201111220511,0,100,9,19.6297,0.0001
20201111220511,0,100,10,13.38894375,0.00032
20201111220511,0,100,11,15.8065380952,0.00031
20201111220511,0,100,12,19.1481833333,8e-05
20201111220511,0,100,13,15.7778428571,0.00012
20201111220511,0,100,14,16.0,1e-05
20201111220511,0,100,16,20.6852333333,0.00016
20201111220511,0,100,17,15.09632,0.00029
20201111220511,0,100,18,18.4592733333,0.00018
20201111220511,0,100,19,17.3951055556,0.00029
20201111220511,0,100,20,19.2222875,0.00026
20201111220511,0,100,21,18.9584125,0.00029
20201111220511,0,100,22,13.9861625,0.00032
20201111220511,0,100,23,14.3199769231,0.00024
20201111220511,0,100,24,17.242125,0.00013
20201111220511,0,100,25,15.500025,5e-05
20201111220511,0,100,26,16.9841714286,0.00011
20201111220511,25,100,7,42.5170646258,0.0001
20201111220512,0,100,1,3.20769166667,0.00041
20201111220512,0,100,2,3.123832,0.00194
20201111220512,0,100,3,7.43871818182,0.00042
20201111220512,0,100,4,2.850816,0.0004
20201111220512,0,100,5,5.05498461538,0.00018
20201111220512,0,100,6,5.43895151515,0.00047
20201111220512,0,100,8,10.9841866667,0.00026
20201111220512,0,100,9,2.22223333333,7e-05
20201111220512,0,100,10,2.87227619048,0.00034
20201111220512,0,100,11,4.26707058824,0.00049
20201111220512,0,100,12,8.19779166667,0.0002
20201111220512,0,100,13,5.31749,0.00015
20201111220512,0,100,14,15.27785,7e-05
