date,%assignLoss,linkDeathTime,idLink,%loss,linkCharge
20201111223130,0,150,17,15.0,4e-05
20201111223130,0,150,4,15.0,4e-05
20201111223130,0,150,2,15.0,0.00014
20201111223130,0,150,1,15.0,4e-05
20201111223130,0,150,19,15.0,4e-05
20201111223131,0,150,17,12.5,5e-05
20201111223131,0,150,4,12.5,5e-05
20201111223131,0,150,2,12.5,0.00019
20201111223131,0,150,1,12.5,5e-05
20201111223131,0,150,10,12.5,5e-05
20201111223131,0,150,22,12.5,5e-05
20201111223131,0,150,22,27.7777,1e-05
20201111223131,0,150,10,27.7777,1e-05
20201111223131,0,150,19,27.7777,1e-05
20201111223131,0,150,17,0.0,4e-05
20201111223131,0,150,4,0.0,4e-05
20201111223131,0,150,2,0.0,0.00014
20201111223131,0,150,1,0.0,4e-05
20201111223131,0,150,19,0.0,4e-05
20201111223131,0,150,23,26.6667,1e-05
20201111223131,0,150,5,26.6667,1e-05
20201111223131,0,150,17,26.6667,1e-05
20201111223132,0,150,17,26.6667,1e-05
20201111223132,0,150,5,26.6667,1e-05
20201111223132,0,150,23,26.6667,1e-05
20201111223132,0,150,17,20.0,1e-05
20201111223132,0,150,4,20.0,1e-05
20201111223132,75,150,11,150.0,1e-05
20201111223132,0,150,21,20.0,1e-05
20201111223132,0,150,17,13.3333,1e-05
20201111223132,0,150,4,13.3333,1e-05
20201111223132,75,150,11,100.0,1e-05
20201111223132,0,150,6,13.3333,1e-05
20201111223132,0,150,7,13.3333,1e-05
20201111223132,0,150,24,13.3333,1e-05
20201111223132,0,150,17,20.0,1e-05
20201111223132,0,150,4,20.0,1e-05
20201111223132,0,150,2,20.0,5e-05
20201111223132,0,150,16,20.0,1e-05
20201111223132,0,150,18,20.0,1e-05
20201111223132,0,150,6,20.0,1e-05
20201111223132,0,150,9,20.0,1e-05
20201111223132,0,150,19,20.0,1e-05
20201111223132,0,150,19,26.6667,1e-05
20201111223132,0,150,10,26.6667,1e-05
20201111223132,0,150,22,26.6667,1e-05
20201111223132,0,150,19,16.0,1e-05
20201111223132,0,150,1,16.0,1e-05
20201111223132,0,150,2,16.0,5e-05
20201111223132,0,150,4,16.0,1e-05
20201111223132,0,150,17,16.0,1e-05
20201111223132,0,150,19,16.0,1e-05
20201111223132,0,150,1,16.0,1e-05
20201111223132,0,150,3,16.0,1e-05
20201111223132,0,150,13,16.0,1e-05
20201111223132,0,150,23,16.0,1e-05
20201111223132,0,150,19,20.0,1e-05
20201111223132,0,150,9,20.0,1e-05
20201111223132,0,150,6,20.0,1e-05
20201111223132,0,150,18,20.0,1e-05
20201111223132,0,150,19,20.0,1e-05
20201111223132,0,150,10,20.0,1e-05
20201111223132,0,150,12,20.0,1e-05
20201111223132,0,150,24,20.0,1e-05
20201111223132,0,150,19,20.0,1e-05
20201111223132,0,150,1,20.0,1e-05
20201111223132,0,150,3,20.0,1e-05
20201111223132,0,150,26,20.0,1e-05
20201111223132,0,150,19,26.6667,1e-05
20201111223132,0,150,1,26.6667,1e-05
20201111223132,0,150,16,26.6667,1e-05
20201111223132,0,150,19,16.0,1e-05
20201111223132,0,150,10,16.0,1e-05
20201111223132,0,150,12,16.0,1e-05
20201111223132,0,150,14,16.0,1e-05
20201111223132,0,150,25,16.0,1e-05
20201111223132,0,150,17,20.0,1e-05
20201111223132,0,150,5,20.0,1e-05
20201111223132,0,150,13,20.0,1e-05
20201111223132,0,150,26,20.0,1e-05
20201111223132,0,150,17,13.3333,1e-05
20201111223132,0,150,4,13.3333,1e-05
20201111223132,75,150,11,100.0,1e-05
20201111223132,0,150,6,13.3333,1e-05
20201111223132,0,150,8,13.3333,1e-05
20201111223132,0,150,25,13.3333,1e-05
20201111223132,0,150,20,20.0,1e-05
20201111223132,0,150,2,20.0,5e-05
20201111223132,0,150,1,20.0,1e-05
20201111223132,0,150,19,20.0,1e-05
20201111223132,0,150,20,20.0,1e-05
20201111223132,0,150,4,20.0,1e-05
20201111223132,0,150,5,20.0,1e-05
20201111223132,0,150,23,20.0,1e-05
20201111223132,0,150,20,20.0,1e-05
20201111223132,75,150,11,150.0,1e-05
20201111223132,0,150,6,20.0,1e-05
20201111223132,0,150,18,20.0,1e-05
20201111223132,0,150,20,16.0,1e-05
20201111223132,75,150,11,120.0,1e-05
20201111223132,0,150,6,16.0,1e-05
20201111223132,0,150,7,16.0,1e-05
20201111223132,0,150,24,16.0,1e-05
20201111223132,0,150,20,20.0,1e-05
20201111223132,0,150,2,20.0,5e-05
20201111223132,0,150,3,20.0,1e-05
20201111223132,0,150,26,20.0,1e-05
20201111223132,0,150,20,16.0,1e-05
20201111223132,75,150,11,120.0,1e-05
20201111223132,0,150,6,16.0,1e-05
20201111223132,0,150,8,16.0,1e-05
20201111223132,0,150,25,16.0,1e-05
20201111223132,0,150,21,26.6667,1e-05
20201111223132,75,150,11,200.0,1e-05
20201111223132,0,150,20,26.6667,1e-05
20201111223132,0,150,21,20.0,1e-05
20201111223132,75,150,11,150.0,1e-05
20201111223132,0,150,4,20.0,1e-05
20201111223132,0,150,17,20.0,1e-05
20201111223132,0,150,21,16.0,1e-05
20201111223132,75,150,11,120.0,1e-05
20201111223132,0,150,4,16.0,1e-05
20201111223132,0,150,5,16.0,1e-05
20201111223132,0,150,23,16.0,1e-05
20201111223132,0,150,22,20.0,1e-05
20201111223132,0,150,12,20.0,1e-05
20201111223132,0,150,7,20.0,1e-05
20201111223132,0,150,18,20.0,1e-05
20201111223132,0,150,20,16.0,1e-05
20201111223132,0,150,2,16.0,5e-05
20201111223132,0,150,1,16.0,1e-05
20201111223132,0,150,10,16.0,1e-05
20201111223132,0,150,22,16.0,1e-05
20201111223132,0,150,20,26.6667,1e-05
20201111223132,0,150,4,26.6667,1e-05
20201111223132,0,150,17,26.6667,1e-05
20201111223132,0,150,20,26.6667,1e-05
20201111223132,75,150,11,200.0,1e-05
20201111223132,0,150,21,26.6667,1e-05
20201111223132,0,150,21,26.6667,1e-05
20201111223132,0,150,9,26.6667,1e-05
20201111223132,0,150,19,26.6667,1e-05
20201111223132,0,150,21,26.6667,1e-05
20201111223132,0,150,6,26.6667,1e-05
20201111223132,0,150,18,26.6667,1e-05
20201111223132,0,150,23,13.3333,1e-05
20201111223132,0,150,13,13.3333,1e-05
20201111223132,0,150,3,13.3333,1e-05
20201111223132,0,150,1,13.3333,1e-05
20201111223132,0,150,10,13.3333,1e-05
20201111223132,0,150,22,13.3333,1e-05
20201111223132,0,150,24,20.0,1e-05
20201111223132,0,150,12,20.0,1e-05
20201111223132,0,150,10,20.0,1e-05
20201111223132,0,150,19,20.0,1e-05
20201111223132,0,150,22,13.3333,1e-05
20201111223132,0,150,10,13.3333,1e-05
20201111223132,0,150,1,13.3333,1e-05
20201111223132,0,150,3,13.3333,1e-05
20201111223132,0,150,13,13.3333,1e-05
20201111223132,0,150,23,13.3333,1e-05
20201111223132,0,150,22,20.0,1e-05
20201111223132,0,150,10,20.0,1e-05
20201111223132,0,150,9,20.0,1e-05
20201111223132,0,150,21,20.0,1e-05
20201111223132,0,150,22,10.8333,8e-05
20201111223132,0,150,10,10.8333,8e-05
20201111223132,0,150,1,10.8333,8e-05
20201111223132,0,150,2,10.8333,0.00033
20201111223132,0,150,4,10.8333,8e-05
20201111223132,0,150,17,10.8333,8e-05
20201111223132,0,150,22,26.6667,1e-05
20201111223132,0,150,12,26.6667,1e-05
20201111223132,0,150,24,26.6667,1e-05
20201111223132,0,150,23,16.0,1e-05
20201111223132,0,150,13,16.0,1e-05
20201111223132,0,150,3,16.0,1e-05
20201111223132,0,150,1,16.0,1e-05
20201111223132,0,150,19,16.0,1e-05
20201111223132,0,150,23,16.0,1e-05
20201111223132,0,150,5,16.0,1e-05
20201111223132,0,150,4,16.0,1e-05
20201111223132,75,150,11,120.0,1e-05
20201111223132,0,150,21,16.0,1e-05
20201111223132,0,150,24,26.6667,1e-05
20201111223132,0,150,12,26.6667,1e-05
20201111223132,0,150,22,26.6667,1e-05
20201111223132,0,150,17,0.0,4e-05
20201111223132,0,150,4,0.0,4e-05
20201111223132,0,150,2,0.0,0.00014
20201111223132,0,150,1,0.0,4e-05
